Date, Open, High, Low, Close
10/27/03, 1028.57, 1038.49, 1028.44, 1032.88
10/24/03, 1025.98, 1038.64, 1014.44, 1024.99
10/23/03, 1061.79, 1061.79, 1016.83, 1017.03
10/22/03, 1095.35, 1095.35, 1073.75, 1073.75
10/21/03, 1114.40, 1114.40, 1091.55, 1093.31
10/20/03, 1093.26, 1109.63, 1087.25, 1105.59
10/17/03, 1095.34, 1100.80, 1089.55, 1094.59
10/16/03, 1084.57, 1091.69, 1079.45, 1090.85
10/15/03, 1091.05, 1091.05, 1079.88, 1080.30
10/14/03, 1082.64, 1093.91, 1082.61, 1087.31
10/10/03, 1060.57, 1079.49, 1060.57, 1073.88
10/09/03, 1056.76, 1061.79, 1052.77, 1057.54
10/08/03, 1069.39, 1071.55, 1054.75, 1054.75
10/07/03, 1071.54, 1075.50, 1066.28, 1075.01
10/06/03, 1076.16, 1084.81, 1068.84, 1068.84
10/03/03, 1058.08, 1069.03, 1057.37, 1066.86
10/02/03, 1041.43, 1060.22, 1041.43, 1057.24
10/01/03, 1019.58, 1031.78, 1014.75, 1029.94
09/30/03, 1019.57, 1030.56, 1018.80, 1018.80
09/29/03, 1021.50, 1021.75, 1010.81, 1010.82
09/26/03, 1010.97, 1025.67, 1010.97, 1021.06
09/25/03, 1029.21, 1029.21, 1013.42, 1017.39
09/24/03, 1045.24, 1056.05, 1030.30, 1043.66
09/22/03, 1064.57, 1064.57, 1037.24, 1043.20
09/19/03, 1083.28, 1085.64, 1068.22, 1070.03
09/18/03, 1068.96, 1079.20, 1064.18, 1075.73
09/17/03, 1073.53, 1083.00, 1070.94, 1072.57
09/16/03, 1050.46, 1063.23, 1050.46, 1062.07
09/12/03, 1034.92, 1045.73, 1034.82, 1042.64
09/11/03, 1035.17, 1036.94, 1023.93, 1023.93
09/10/03, 1042.62, 1048.53, 1041.44, 1043.98
09/09/03, 1035.98, 1048.45, 1035.94, 1045.71
09/08/03, 1021.52, 1033.00, 1019.52, 1027.94
09/05/03, 1034.31, 1035.76, 1022.51, 1026.21
09/04/03, 1036.35, 1042.29, 1030.23, 1030.23
09/03/03, 1037.34, 1041.24, 1025.97, 1033.28
09/02/03, 1027.80, 1032.12, 1022.50, 1028.91
09/01/03, 1008.88, 1027.01, 1007.87, 1027.01
08/29/03, 1001.01, 1004.12, 997.62, 1002.01
08/28/03, 1003.65, 1006.36, 991.85, 993.51
08/27/03, 1005.05, 1012.46, 1000.65, 1000.67
08/26/03, 993.61, 1005.39, 990.64, 1001.74
08/25/03, 1002.24, 1007.32, 996.65, 997.80
08/22/03, 1012.39, 1012.39, 1003.66, 1004.20
08/21/03, 997.68, 1011.38, 995.09, 1009.58
08/20/03, 992.92, 1002.62, 988.58, 1001.08
08/19/03, 986.03, 993.93, 985.03, 990.64
08/18/03, 970.23, 978.31, 970.23, 976.00
08/15/03, 971.21, 977.15, 963.09, 964.78
08/14/03, 951.38, 967.39, 948.11, 965.94
08/13/03, 941.39, 953.53, 941.39, 951.76
08/12/03, 933.58, 938.63, 929.41, 934.59
08/11/03, 920.72, 930.05, 919.36, 928.52
08/08/03, 916.06, 922.78, 911.86, 917.47
08/07/03, 923.23, 923.99, 915.56, 915.91
08/06/03, 919.07, 927.62, 918.15, 922.57
08/05/03, 933.95, 934.75, 923.10, 925.47
08/04/03, 939.11, 940.91, 933.50, 934.52
08/01/03, 947.03, 948.70, 939.55, 942.41
07/31/03, 944.08, 945.92, 932.84, 939.40
07/30/03, 955.77, 957.89, 944.31, 944.31
07/29/03, 964.99, 966.14, 958.09, 958.18
07/28/03, 954.87, 960.74, 953.44, 959.69
07/25/03, 944.33, 950.13, 939.15, 945.28
07/24/03, 944.26, 949.34, 942.15, 945.27
07/23/03, 936.94, 941.37, 936.70, 941.26
07/22/03, 931.86, 934.72, 925.35, 928.18
07/18/03, 927.82, 937.70, 926.96, 933.10
