Date,Close,TOPIX,HALF_YEAR
2014/2/26,1225.35,75.12599169,279.8248409499124
2014/2/27,1217.35,74.6355131,277.99793536971816
2014/2/28,1211.66,74.28666021,276.69854880239035
2014/3/3,1196.76,73.37314385,273.2959372109594
2014/3/4,1204.11,73.82377104,274.9744066585213
2014/3/5,1212.9,74.36268439,276.9817191619196
2014/3/6,1228.36,75.31053425,280.5122141391221
2014/3/7,1236.97,75.83841183,282.4784212605408
2014/3/10,1227.61,75.26455189,280.3409417700784
2014/3/11,1233.21,75.6078869,281.61977566504015
2014/3/12,1206.94,73.99727784,275.6206745029988
2014/3/13,1203.46,73.78391966,274.8259706003838
2014/3/14,1164.7,71.40755092,265.9746131706841
2014/3/17,1154.93,70.80855395,263.7435047608095
2014/3/18,1165.94,71.4835751,266.2577835302133
2014/3/19,1164.33,71.38486628,265.8901187681849
2014/3/20,1145.97,70.25921793,261.69737051397175
2014/3/24,1163.04,71.30577661,265.5955302532026
2014/3/25,1163.7,71.34624109,265.7462499498802
2014/3/26,1172.07,71.85940431,267.65764989532624
2014/3/27,1176.9,72.15553076,268.76064414416413
2014/3/28,1186.52,72.74533126,270.9574980876795
2014/3/31,1202.89,73.74897306,274.69580357607236
2014/4/1,1204.25,73.83235442,275.00637752358796
2014/4/2,1211.36,74.26826726,276.6300398324246
2014/4/3,1216.77,74.5999534,277.8654847068667
2014/4/4,1215.89,74.54600076,277.66452511129654
2014/4/7,1196.84,73.37804863,273.31420624478545
2014/4/8,1174.56,72.01206577,268.2262742529249
2014/4/9,1150.44,70.53327284,262.7181539988506
2014/4/10,1149.49,70.47502851,262.5012089707472
2014/4/11,1134.09,69.53085723,258.9844157502905
2014/4/14,1132.76,69.44931517,258.6806927183952
2014/4/15,1136.09,69.65347688,259.4411421546509
2014/4/16,1166.55,71.52097409,266.3970850714379
2014/4/17,1166.59,71.52342648,266.4062195883509
2014/4/18,1173.37,71.93910708,267.9545220488487
2014/4/21,1171.4,71.81832673,267.50464656010854
2014/4/22,1162.5,71.27266931,265.4722141445114
2014/4/23,1173.81,71.96608341,268.0550018838811
2014/4/24,1164.9,71.41981288,266.02028579249645
2014/4/25,1169.99,71.73187988,267.18265445713985
2014/4/28,1160.74,71.16476402,265.0702949161237
2014/4/30,1162.44,71.26899072,265.4585123505182
2014/5/1,1182.2,72.48047282,265.4585123505182
2014/5/2,1182.48,72.49763957,265.4585123505182
2014/5/7,1152.01,70.62952926,265.4585123505182
2014/5/8,1160.01,71.12000785,265.4585123505182
2014/5/9,1165.51,71.45721187,265.4585123505182
2014/5/12,1157.91,70.99125722,265.4585123505182
2014/5/13,1178.35,72.24443,265.4585123505182
2014/5/14,1183.15,72.53871715,265.4585123505182
2014/5/15,1178.29,72.24075141,265.4585123505182
2014/5/16,1159.07,71.06237661,265.4585123505182
2014/5/19,1150.07,70.51058821,265.4585123505182
2014/5/20,1153.38,70.71352372,265.4585123505182
